accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score_multiclass,model,fold_id,fit_time_seconds,prediction_time_seconds,fit_status,error_message,feature_representation,n_predictors
0.7075966850828729,0.5634744976391893,0.5602582731721553,0.5634744976391893,0.5616232355343139,0.7079596685933905,4.661606311798096,0.5848066298342541,Decision Tree,4,1.5918431282043457,0.008044004440307617,success,,ANV,18
0.7062154696132596,0.5654970033845896,0.571099966611527,0.5654970033845896,0.5678278001793147,0.7063396038479324,4.683626174926758,0.5875690607734807,Decision Tree,5,1.6292970180511475,0.006718873977661133,success,,ANV,18
0.7056765342295475,0.5575594972335755,0.5524864172251256,0.5575594972335755,0.5547031328321407,0.7057542086719706,4.69221830368042,0.5886469315409051,Decision Tree,6,1.6024019718170166,0.006543874740600586,success,,ANV,18
0.7028545119705341,0.5382457835236337,0.5465511186894413,0.5382457835236337,0.5421034430253503,0.702601067514651,4.737207889556885,0.5942909760589319,Decision Tree,7,1.6379799842834473,0.006926059722900391,success,,ANV,18
0.7069981583793739,0.5643774111644494,0.5678991955297277,0.5643774111644494,0.5659266781241934,0.7070316919187903,4.671148300170898,0.5860036832412523,Decision Tree,8,1.6007881164550781,0.006395816802978516,success,,ANV,18
0.7050184162062615,0.5579396887597051,0.5549804712756382,0.5579396887597051,0.5558668364024026,0.7050195289866533,4.702710151672363,0.589963167587477,Decision Tree,9,1.6176650524139404,0.008469104766845703,success,,ANV,18
0.7081491712707182,0.5619979985445843,0.5652513138457895,0.5619979985445843,0.562956727933682,0.7083771082444092,4.652798175811768,0.5837016574585635,Decision Tree,10,1.6697509288787842,0.007817983627319336,success,,ANV,18
0.7989503245706919,0.6724781592193195,0.6681157200264868,0.6724781592193195,0.6681616804963597,0.8000267481078921,0.7391377091407776,0.30187648830447855,Random Forest,1,5.17270302772522,0.13106298446655273,success,,ANV,18
0.7942909760589318,0.6788290852762106,0.6957053364397969,0.6788290852762106,0.6808853930403209,0.7953490451995174,0.7423750162124634,0.30503562818328356,Random Forest,2,5.022408962249756,0.12932705879211426,success,,ANV,18
0.7928176795580111,0.6922221221164679,0.7120501346519408,0.6922221221164679,0.6934635747622142,0.794066230948276,0.7514649033546448,0.30620371715290956,Random Forest,3,5.213315010070801,0.15389490127563477,success,,ANV,18
0.7975598526703499,0.6893333463744249,0.6839662983248909,0.6893333463744249,0.6823456057583827,0.798897066868486,0.7224476933479309,0.3006932455398855,Random Forest,4,5.522439002990723,0.14829587936401367,success,,ANV,18
0.7924033149171271,0.6862378444100284,0.7127502644075614,0.6862378444100284,0.6900043049707849,0.7940820156022363,0.7524374723434448,0.3058816330295213,Random Forest,5,5.573848009109497,0.153641939163208,success,,ANV,18
0.7939781778002855,0.672751285230236,0.6760758330991885,0.672751285230236,0.6686240323093646,0.7951660627849482,0.7456795573234558,0.3066228321822826,Random Forest,6,5.943743944168091,0.13962483406066895,success,,ANV,18
0.796731123388582,0.6693104686641579,0.6653694776398918,0.6693104686641579,0.6648180695504337,0.7979205813302589,0.7460323572158813,0.302744939738798,Random Forest,7,5.73893404006958,0.14452219009399414,success,,ANV,18
0.7969613259668509,0.6872206679004634,0.7070371001219907,0.6872206679004634,0.6889458530326,0.798528771643419,0.7310265898704529,0.3028812595369179,Random Forest,8,5.877787113189697,0.1505417823791504,success,,ANV,18
0.790147329650092,0.7030013750957653,0.6793879909836488,0.7030013750957653,0.6871092849843791,0.7914630505229068,0.7486338019371033,0.3069458206696805,Random Forest,9,5.99437403678894,0.12436699867248535,success,,ANV,18
